id,trial,stimulus,sampling_rate,t,x,y,outside,aoi,side,aoi_hit,side_hit
Participant01_A,1.0,FAM_LR,,0,,,,,,,
Participant01_A,1.0,FAM_LR,31.377189404328153,50,530.0,516.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,100,526.0,500.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,150,480.0,468.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,200,465.0,468.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,250,541.0,464.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,300,648.0,476.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,350,678.0,494.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,400,712.0,481.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,450,709.0,499.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,500,761.0,492.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,550,802.0,410.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,600,803.0,452.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,650,728.0,531.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,700,728.0,538.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,750,702.0,536.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,800,716.0,562.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,850,681.0,558.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,900,553.0,481.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,950,501.0,471.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,1000,682.0,323.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,1050,740.0,232.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,1100,755.0,150.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,1150,778.0,77.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,1200,766.0,77.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,1250,768.0,88.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,1300,810.0,102.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,1350,652.0,305.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,1400,549.0,285.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,1450,612.0,411.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,1500,572.0,501.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,1550,595.0,572.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,1600,606.0,542.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,1650,632.0,597.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,1700,538.0,549.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,1750,526.0,560.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,1800,635.0,571.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,1850,859.0,651.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,1900,988.0,660.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,1950,1088.0,645.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2000,1156.0,513.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2050,1152.0,483.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2100,1125.0,486.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2150,1060.0,502.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2200,950.0,387.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2250,887.0,284.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2300,882.0,289.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2350,876.0,269.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2400,929.0,237.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2450,920.0,226.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2500,754.0,262.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2550,666.0,234.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2600,661.0,222.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2650,677.0,230.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2700,700.0,288.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2750,657.0,251.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,2800,587.0,231.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,2850,547.0,245.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,2900,357.0,294.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,2950,305.0,284.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,3000,308.0,254.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,3050,249.0,261.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,3100,274.0,304.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,3150,372.0,304.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,3200,427.0,324.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,3250,532.0,326.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,3300,602.0,311.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,3350,770.0,391.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,3400,824.0,406.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,3450,903.0,448.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,3500,885.0,443.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,3550,851.0,442.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,3600,901.0,485.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,3650,810.0,457.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,3700,876.0,435.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,3750,876.0,403.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,3800,907.0,444.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,3850,878.0,494.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,3900,790.0,515.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,3950,763.0,490.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,4000,793.0,515.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,4050,682.0,467.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,4100,457.0,382.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,4150,396.0,358.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,4200,307.0,327.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,4250,395.0,331.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,4300,576.0,392.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,4350,700.0,393.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,4400,734.0,300.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,4450,747.0,329.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,4500,670.0,326.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,4550,657.0,369.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,4600,530.0,427.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,4650,404.0,633.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,4700,535.0,566.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,4750,580.0,574.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,4800,665.0,538.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,4850,715.0,442.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,4900,723.0,417.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,4950,656.0,330.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,5000,646.0,285.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,5050,636.0,210.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,5100,627.0,212.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,5150,517.0,274.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,5200,421.0,331.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,5250,438.0,339.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,5300,537.0,398.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,5350,595.0,453.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,5400,617.0,466.0,False,none,left,none,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,5450,659.0,483.0,False,none,right,none,target
Participant01_A,1.0,FAM_LR,31.377189404328153,5500,712.0,394.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,5550,723.0,411.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,5600,757.0,414.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,5650,776.0,443.0,False,right,right,target,target
Participant01_A,1.0,FAM_LR,31.377189404328153,5700,571.0,535.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,5750,499.0,494.0,False,left,left,distractor,distractor
Participant01_A,1.0,FAM_LR,31.377189404328153,5800,455.0,465.0,False,left,left,distractor,distractor
